"name","province","lon","lat"
"Carleton-sur-Mer","24",-66.1779727404712,48.1537390741944
"Bonaventure","24",-65.4668053716794,48.081897302945
"Carleton","24",-66.1779727404712,48.1537390741944
"Grande-Rivière","24",-64.5203845918998,48.4252493396898
"Carleton–Saint-Omer","24",-66.1779727404712,48.1537390741944
"Métis-sur-Mer","24",-68.1037434367102,48.7323924003021
"Sainte-Anne-des-Monts","24",-66.4109135100642,49.1014035867527
"Sainte-Anne-des-Monts–Tourelle","24",-66.4109135100642,49.1014035867527
"New Richmond","24",-65.8098847949015,48.1960119352775
"Miramichi","13",-65.5305472726031,46.9988854352705
"Cap-Chat","24",-66.697694138527,49.0668173447339
"Paspébiac","24",-65.291887622962,48.1061700958548
"Causapscal","24",-67.237105871569,48.3769793362195
"Murdochville","24",-65.4768297223214,48.9618925626267
"Percé","24",-64.3364571765222,48.5479475393731
"Matane","24",-67.4903681889877,48.8010709348434
"Port-Cartier","24",-67.1182605912152,49.8923296892387
"Campbellton","13",-66.7093936073314,47.9497844179247
"Chandler","24",-64.7816387251479,48.3534329625334
"Amqui","24",-67.4331400425601,48.4850054152367
"Moisie","24",-65.8966543937221,50.2981682090443
"Gaspé","24",-64.4757557206506,48.9227038339969
"Sept-Îles","24",-65.8966543937221,50.2981682090443
"Bathurst","13",-65.6274800046134,47.6119991376352
"Arrondissement naturel de Percé","24",-64.2,48.516667
"Arrondissement naturel de l'Archipel-de-Mingan","24",-63.623929,50.219324
"MacNider","24",-67.9930556,48.6736111
"Rivière-à-Pierre","24",-65.7937038811344,49.1808841145242
"Baie-Trinité","24",-67.3239814436686,49.4502243405923
"Mont-Saint-Pierre","24",-65.7937038811344,49.1808841145242
"Saint-Noël","24",-67.8279022667015,48.6035817671865
"Sainte-Félicité","24",-67.29648187675,48.88088746955
"St. Leonard","13",-67.9193952805122,47.1714772662178
"Alberton","11",-64.065297,46.812804
"Marsoui","24",-66.0421718667053,49.1439890695975
"Godbout","24",-67.5749481885297,49.3689480175665
"Saint-Ulric","24",-67.7012429071218,48.7469661122747
"Sainte-Angèle-de-Rimouski","24",-68.0775720646636,48.5041646139284
"Métis-sur-Mer","24",-68.1037434367102,48.7323924003021
"Sainte-Angèle-de-Mérici","24",-68.0775720646636,48.5041646139284
"Lac-au-Saumon","24",-67.3882904761315,48.4047635623485
"O'Leary","11",-64.226838,46.707164
"L'Île-d'Entrée","24",-61.8472222,47.2361111
"Val-Brillant","24",-67.5568890556039,48.5252312382879
"Tignish","11",-64.033583,46.950493
"Île-de-Lamèque","13",-64.6188752093896,47.8047164375067
"Grand Falls","13",-67.7000419298144,47.0149987320973
"Vallée-des-Rivières","13",-67.8821974821506,47.2430412078564
"Baie-des-Hérons","13",-66.2344063528485,48.0002528986756
"Caraquet","13",-64.8999169259777,47.7340531543266
"Shippagan","13",-64.7376973050161,47.6977306697174
"Rivière-du-Nord","13",-65.1195978234076,47.7752487208846
"Shippegan","13",-64.7376973050161,47.6977306697174
"Saint-Quentin","13",-67.3916885363239,47.526446542768
"Heron Bay","13",-66.2344063528485,48.0002528986756
"Hautes-Terres","13",-65.1682012955847,47.5803228536655
"Cap-aux-Meules","24",-61.7277764254274,47.7321323813637
"Beaurivage","13",-65.0349273540119,46.6941645925237
"Belle-Baie","13",-65.7952758231311,47.767633571184
"Grand-Sault","13",-67.7000419298144,47.0149987320973
